master_cpd_id	cpd_name	broad_cpd_id	top_test_conc_umol	cpd_status	inclusion_rationale	gene_symbol_of_protein_target	target_or_activity_of_compound	source_name	source_catalog_id	cpd_smiles
660172	navitoclax:birinapant (1:1 mol/mol)	BRD-M41956198	3.30E+01	probe	combination	BCL2;BCL2L1;BCL2L2;DIABLO;XIAP	inhibitor of BCL2, BCL-xL, and BCL-W;SMAC mimetic; inhibitor of inhibitor of apoptosis proteins (IAPs)			CC[C@H](NC(=O)[C@H](C)NC)C(=O)N1C[C@@H](O)C[C@H]1Cc1c([nH]c2cc(F)ccc12)-c1cc2c(C[C@@H]3C[C@H](O)CN3C(=O)[C@H](CC)NC(=O)[C@H](C)NC)cc(F)cc2[nH]1.CC1(C)CCC(=C(CN2CCN(CC2)c2ccc(cc2)C(=O)NS(=O)(=O)c2ccc(N[C@H](CCN3CCOCC3)CSc3ccccc3)c(c2)S(=O)(=O)C(F)(F)F)C1)c1ccc(Cl)cc1
660173	ISOX:bortezomib (250:1 mol/mol)	BRD-M94091398	1.70E+01	probe	combination	HDAC6;PSMB1;PSMB2;PSMB5;PSMD1;PSMD2	inhibitor of HDAC6;inhibitor of 26S proteasome			CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O.CC(C)(C)OC(=O)Nc1ccc(cc1)-c1cc(no1)C(=O)NCCCCCCC(=O)NO
660174	selumetinib:GDC-0941 (4:1 mol/mol)	BRD-M25329837	1.70E+02	probe	combination	MAP2K1;MAP2K2;PIK3CA;PIK3CB;PIK3CD;PIK3CG	inhibitor of MEK1 and MEK2;inhibitor of PI3K kinase activity			Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(cc12)C(=O)NOCCO.CS(=O)(=O)N1CCN(Cc2cc3nc(nc(N4CCOCC4)c3s2)-c2cccc3[nH]ncc23)CC1
660175	selumetinib:tretinoin (2:1 mol/mol)	BRD-M45185124	2.00E+02	probe	combination	MAP2K1;MAP2K2;RARA;RARB;RARG	inhibitor of MEK1 and MEK2;agonist of retinoid acid receptors			CC(=C/CO)\C=C\C=C(C)\C=C\C1=C(C)CCCC1(C)C.Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(cc12)C(=O)NOCCO
660176	selumetinib:vorinostat (8:1 mol/mol)	BRD-M98616540	1.50E+02	probe	combination	MAP2K1;MAP2K2;HDAC1;HDAC2;HDAC3;HDAC6;HDAC8	inhibitor of MEK1 and MEK2;inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8			ONC(=O)CCCCCCC(=O)Nc1ccccc1.Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(cc12)C(=O)NOCCO
660177	selumetinib:JQ-1 (4:1 mol/mol)	BRD-M46138460	1.70E+02	probe	combination	MAP2K1;MAP2K2;BRDT	inhibitor of MEK1 and MEK2;inhibitor of bromodomain (BRD) and extra-C terminal domain (BET) proteins			Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(cc12)C(=O)NOCCO.Cc1sc-2c(c1C)C(=N[C@@H](CC(=O)OC(C)(C)C)c1nnc(C)n-21)c1ccc(Cl)cc1
660178	selumetinib:BRD-A02303741 (4:1 mol/mol)	BRD-M65857522	1.70E+02	probe	combination	MAP2K1;MAP2K2;DOT1L	inhibitor of MEK1 and MEK2;inhibitor of histone methyltransferases			Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(cc12)C(=O)NOCCO.CC(C)N(CCCNC(=O)Nc1ccc(cc1)C(C)(C)C)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1ccc2c(N)ncnc12
660179	tretinoin:navitoclax (4:1 mol/mol)	BRD-M74379094	8.30E+01	probe	combination	RARA;RARB;RARG;BCL2;BCL2L1;BCL2L2	agonist of retinoid acid receptors;inhibitor of BCL2, BCL-xL, and BCL-W			CC(=C/CO)\C=C\C=C(C)\C=C\C1=C(C)CCCC1(C)C.CC1(C)CCC(=C(CN2CCN(CC2)c2ccc(cc2)C(=O)NS(=O)(=O)c2ccc(N[C@H](CCN3CCOCC3)CSc3ccccc3)c(c2)S(=O)(=O)C(F)(F)F)C1)c1ccc(Cl)cc1
660180	decitabine:navitoclax (2:1 mol/mol)	BRD-M43399311	5.00E+01	probe	combination	DNMT1;BCL2;BCL2L1;BCL2L2	inhibitor of DNA methyltransferase;inhibitor of BCL2, BCL-xL, and BCL-W			Nc1ncn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1.CC1(C)CCC(=C(CN2CCN(CC2)c2ccc(cc2)C(=O)NS(=O)(=O)c2ccc(N[C@H](CCN3CCOCC3)CSc3ccccc3)c(c2)S(=O)(=O)C(F)(F)F)C1)c1ccc(Cl)cc1
660181	tretinoin:carboplatin (2:1 mol/mol)	BRD-M31706333	1.00E+02	probe	combination	RARA;RARB;RARG	agonist of retinoid acid receptors;inducer of DNA damage			O=C1O[Pt]OC(=O)C11CCC1.CC(\C=C\C=C(C)\C=C\C1=C(C)CCCC1(C)C)=C/CO
660201	necrostatin-7	BRD-K50145167	6.60E+01	probe	lit-search		inhibitor of necroptosis	Cayman	10528	Fc1ccc(cc1)-c1n[nH]cc1C=C1SC(=N)N(C1=O)c1nccs1
660202	PYR-41	BRD-K60750172	6.60E+01	probe	lit-search	UBA1	inhibitor of ubiquitin-activating enzyme in cells	Tocris Bioscience;Tocris Bioscience	4088;2978	CCOC(=O)c1ccc(cc1)N1NC(=O)C(=Cc2ccc(o2)[N+]([O-])=O)C1=O
660206	I-BET151	BRD-K36363294	6.60E+01	probe	chromatin;lit-search	BRD2;BRD3;BRD4	inhibitor of bromodomain (BRD) and extra-C terminal domain (BET) proteins	ChemieTek	CT-BET151 .	COc1cc2c3n([C@H](C)c4ccccn4)c(=O)[nH]c3cnc2cc1-c1c(C)noc1C
660207	lomeguatrib	BRD-K27955832	6.60E+01	clinical	lit-search	MGMT	inhibitor of methylguanine-DNA methyltransferase	Tocris Bioscience	4359	Nc1nc(OCc2cc(Br)cs2)c2[nH]cnc2n1
660208	PF-184	BRD-K11593101	6.60E+01	probe	kinome	IKBKB	inhibitor of IKK-2	Tocris Bioscience	4238	C[C@@]1(CO)CN(C[C@]1(C)CO)c1cc(C(=O)Nc2ccc3CCc4c(nn(c4-c3c2)-c2ccc(F)cc2)C(N)=O)c(Cl)cn1
660216	tanespimycin:gemcitabine (1:1 mol/mol)	BRD-M41695494	3.30E+01	probe	combination	HSP90AA1;CMPK1;RRM1;TYMS	inhibitor of HSP90;inhibitor of DNA replication; inhibitor of ribonucleotide reductase, thymidylate synthetase, and cytidine monophosphate (UMP-CMP) kinase 			Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1.CO[C@H]1C[C@H](C)CC2=C(NCC=C)C(=O)C=C(NC(=O)\C(C)=C\C=C/[C@H](OC)[C@@H](OC(N)=O)\C(C)=C\[C@H](C)[C@H]1O)C2=O
660217	docetaxel:tanespimycin (2:1 mol/mol)	BRD-M60574774	5.00E+01	probe	combination	HSP90AA1	inhibitor of microtubule assembly;inhibitor of HSP90			CO[C@H]1C[C@H](C)CC2=C(NCC=C)C(=O)C=C(NC(=O)\C(C)=C\C=C/[C@H](OC)[C@@H](OC(N)=O)\C(C)=C\[C@H](C)[C@H]1O)C2=O.CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@]1(C)C2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c3ccccc3)C(C)=C([C@@H](O)C1=O)C2(C)C
660218	selumetinib:MK-2206 (8:1 mol/mol)	BRD-M34300043	1.50E+02	probe	combination	MAP2K1;MAP2K2;AKT1	inhibitor of MEK1 and MEK2;inhibitor of AKT1			Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(cc12)C(=O)NOCCO.NC1(CCC1)c1ccc(cc1)-c1nc2ccn3c(n[nH]c3=O)c2cc1-c1ccccc1
660219	navitoclax:PLX-4032 (1:1 mol/mol)	BRD-M55709992	3.30E+01	probe	combination	BCL2;BCL2L1;BCL2L2;BRAF	inhibitor of BCL2, BCL-xL, and BCL-W;inhibitor of BRAF			CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(cc23)-c2ccc(Cl)cc2)c1F.CC1(C)CCC(=C(CN2CCN(CC2)c2ccc(cc2)C(=O)NS(=O)(=O)c2ccc(N[C@H](CCN3CCOCC3)CSc3ccccc3)c(c2)S(=O)(=O)C(F)(F)F)C1)c1ccc(Cl)cc1
660220	selumetinib:piperlongumine (8:1 mol/mol)	BRD-M89326994	1.50E+02	probe	combination	MAP2K1;MAP2K2	inhibitor of MEK1 and MEK2;natural product; modulator of ROS levels			COc1cc(\C=C\C(=O)N2CCC=CC2=O)cc(OC)c1OC.Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(cc12)C(=O)NOCCO
660221	tanespimycin:bortezomib (250:1 mol/mol)	BRD-M09675615	1.70E+01	probe	combination	HSP90AA1;PSMB1;PSMB2;PSMB5;PSMD1;PSMD2	inhibitor of HSP90;inhibitor of 26S proteasome			CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O.CO[C@H]1C[C@H](C)CC2=C(NCC=C)C(=O)C=C(NC(=O)\C(C)=C\C=C/[C@H](OC)[C@@H](OC(N)=O)\C(C)=C\[C@H](C)[C@H]1O)C2=O
660222	navitoclax:MST-312 (1:1 mol/mol)	BRD-M71072276	3.30E+01	probe	combination	BCL2;BCL2L1;BCL2L2;TERT	inhibitor of BCL2, BCL-xL, and BCL-W;inhibitor of telomerase reverse transcriptase			Oc1cccc(C(=O)Nc2cccc(NC(=O)c3cccc(O)c3O)c2)c1O.CC1(C)CCC(=C(CN2CCN(CC2)c2ccc(cc2)C(=O)NS(=O)(=O)c2ccc(N[C@H](CCN3CCOCC3)CSc3ccccc3)c(c2)S(=O)(=O)C(F)(F)F)C1)c1ccc(Cl)cc1
660223	carboplatin:etoposide (40:17 mol/mol)	BRD-M63575423	4.80E+01	probe	combination	TOP2A	inducer of DNA damage;inhibitor of topoisomerase II			O=C1O[Pt]OC(=O)C11CCC1.COc1cc(cc(OC)c1O)[C@H]1[C@@H]2[C@H](COC2=O)[C@H](O[C@@H]2O[C@@H]3CO[C@@H](C)O[C@H]3[C@H](O)[C@H]2O)c2cc3OCOc3cc12
660224	piperlongumine:MST-312 (1:1 mol/mol)	BRD-M37545453	3.30E+01	probe	combination	TERT	natural product; modulator of ROS levels;inhibitor of telomerase reverse transcriptase			COc1cc(\C=C\C(=O)N2CCC=CC2=O)cc(OC)c1OC.Oc1cccc(C(=O)Nc2cccc(NC(=O)c3cccc(O)c3O)c2)c1O
660225	navitoclax:gemcitabine (1:1 mol/mol)	BRD-M68535767	3.30E+01	probe	combination	BCL2;BCL2L1;BCL2L2;CMPK1;RRM1;TYMS	inhibitor of BCL2, BCL-xL, and BCL-W;inhibitor of DNA replication; inhibitor of ribonucleotide reductase, thymidylate synthetase, and cytidine monophosphate (UMP-CMP) kinase 			Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1.CC1(C)CCC(=C(CN2CCN(CC2)c2ccc(cc2)C(=O)NS(=O)(=O)c2ccc(N[C@H](CCN3CCOCC3)CSc3ccccc3)c(c2)S(=O)(=O)C(F)(F)F)C1)c1ccc(Cl)cc1
660227	JW-480	BRD-K99655327	6.60E+01	probe	lit-search	NCEH1	inhibitor of serine hydrolase enzyme NCEH	Tocris Bioscience	4327	CC(C)c1ccccc1OC(=O)NCCc1ccc2ccccc2c1
660228	BMS-195614	BRD-K45935533	6.60E+01	probe	chromatin;lit-search	RARA;RARB;RARG	antagonist of retinoic acid receptors	Tocris Bioscience	3660	CC1(C)CC=C(c2cnc3ccccc3c2)c2cc(ccc12)C(=O)Nc1ccc(cc1)C(O)=O
660229	BRD-K07442505	BRD-K07442505	6.60E+01	probe	outreach	BAX	stapled helical peptide activating BAX	Dana Farber Cancer Institute;Dana Farber Cancer Institute	DFCI-LW13	CCOc1ccccc1N\N=C1C(=O)N(N=C\1C)c1nc(cs1)-c1ccccc1
660230	BRD-K35604418	BRD-K35604418	2.70E+02	probe	outreach	MCL1	inhibitor of MCL1	Dana Farber Cancer Institute		Cc1cs\c(=N/C2CCCCC2)n1\N=C\c1ccc(O)c(O)c1O
660238	SB-743921	BRD-K62358710	3.30E+01	clinical	lit-search	KIF11	inhibitor of kinesin 11	Selleck	S2182	CC(C)[C@H](N(CCCN)C(=O)c1ccc(C)cc1)c1oc2cc(Cl)ccc2c(=O)c1Cc1ccccc1
660245	GSK525762A	BRD-K08109215	6.60E+01	probe	chromatin;lit-search	BRD2;BRD3;BRD4	inhibitor of bromodomain (BRD) and extra-C terminal domain (BET) proteins	EMD Biosciences	401010	CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc12
660246	navitoclax:pluripotin (1:1 mol/mol)	BRD-M07227555	3.30E+01	probe	combination	BCL2;BCL2L1;BCL2L2;MAPK1;RASAL1	inhibitor of BCL2, BCL-xL, and BCL-W;promoter of embryonic stem cell self-renewal; inhibitor of Ras-GAP and ERK			CN1C(=O)N(Cc2cnc(Nc3cc(C)nn3C)nc12)c1cc(NC(=O)c2cccc(c2)C(F)(F)F)ccc1C.CC1(C)CCC(=C(CN2CCN(CC2)c2ccc(cc2)C(=O)NS(=O)(=O)c2ccc(N[C@H](CCN3CCOCC3)CSc3ccccc3)c(c2)S(=O)(=O)C(F)(F)F)C1)c1ccc(Cl)cc1
660247	JQ-1:carboplatin (1:1 mol/mol)	BRD-M11510342	6.60E+01	probe	combination	BRDT	inhibitor of bromodomain (BRD) and extra-C terminal domain (BET) proteins;inducer of DNA damage			O=C1O[Pt]OC(=O)C11CCC1.Cc1sc-2c(c1C)C(=N[C@@H](CC(=O)OC(C)(C)C)c1nnc(C)n-21)c1ccc(Cl)cc1
660248	selumetinib:navitoclax (8:1 mol/mol)	BRD-M39644375	1.50E+02	probe	combination	MAP2K1;MAP2K2;BCL2;BCL2L1;BCL2L2	inhibitor of MEK1 and MEK2;inhibitor of BCL2, BCL-xL, and BCL-W			Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(cc12)C(=O)NOCCO.CC1(C)CCC(=C(CN2CCN(CC2)c2ccc(cc2)C(=O)NS(=O)(=O)c2ccc(N[C@H](CCN3CCOCC3)CSc3ccccc3)c(c2)S(=O)(=O)C(F)(F)F)C1)c1ccc(Cl)cc1
660249	selumetinib:decitabine (4:1 mol/mol)	BRD-M45217710	1.70E+02	probe	combination	MAP2K1;MAP2K2;DNMT1	inhibitor of MEK1 and MEK2;inhibitor of DNA methyltransferase			Nc1ncn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1.Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(cc12)C(=O)NOCCO
660250	decitabine:carboplatin (1:1 mol/mol)	BRD-M60251345	6.60E+01	probe	combination	DNMT1	inhibitor of DNA methyltransferase;inducer of DNA damage			O=C1O[Pt]OC(=O)C11CCC1.Nc1ncn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1
660251	SNX-2112:bortezomib (250:1 mol/mol)	BRD-M68452404	1.70E+01	probe	combination	HSP90AA1;HSP90B1;PSMB1;PSMB2;PSMB5;PSMD1;PSMD2	inhibitor of HSP90alpha and HSP90beta;inhibitor of 26S proteasome			CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O.CC1(C)Cc2c(c(nn2-c2ccc(C(N)=O)c(N[C@H]3CC[C@H](O)CC3)c2)C(F)(F)F)C(=O)C1
660252	JQ-1:navitoclax (2:1 mol/mol)	BRD-M87479906	5.00E+01	probe	combination	BRDT;BCL2;BCL2L1;BCL2L2	inhibitor of bromodomain (BRD) and extra-C terminal domain (BET) proteins;inhibitor of BCL2, BCL-xL, and BCL-W			Cc1sc-2c(c1C)C(=N[C@@H](CC(=O)OC(C)(C)C)c1nnc(C)n-21)c1ccc(Cl)cc1.CC1(C)CCC(=C(CN2CCN(CC2)c2ccc(cc2)C(=O)NS(=O)(=O)c2ccc(N[C@H](CCN3CCOCC3)CSc3ccccc3)c(c2)S(=O)(=O)C(F)(F)F)C1)c1ccc(Cl)cc1
660253	JQ-1:MK-0752 (1:1 mol/mol)	BRD-M94343540	6.60E+01	probe	combination	BRDT;APH1A;NCSTN;PSEN1;PSENEN	inhibitor of bromodomain (BRD) and extra-C terminal domain (BET) proteins;inhibitor of gamma-secretase			OC(=O)CC[C@H]1CC[C@@](CC1)(c1cc(F)ccc1F)S(=O)(=O)c1ccc(Cl)cc1.Cc1sc-2c(c1C)C(=N[C@@H](CC(=O)OC(C)(C)C)c1nnc(C)n-21)c1ccc(Cl)cc1
660268	BRD-A02303741:navitoclax (2:1 mol/mol)	BRD-M76874421	5.00E+01	probe	combination	DOT1L;BCL2;BCL2L1;BCL2L2	inhibitor of histone methyltransferases;inhibitor of BCL2, BCL-xL, and BCL-W			CC(C)N(CCCNC(=O)Nc1ccc(cc1)C(C)(C)C)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1ccc2c(N)ncnc12.CC1(C)CCC(=C(CN2CCN(CC2)c2ccc(cc2)C(=O)NS(=O)(=O)c2ccc(N[C@H](CCN3CCOCC3)CSc3ccccc3)c(c2)S(=O)(=O)C(F)(F)F)C1)c1ccc(Cl)cc1
660269	salermide:PLX-4032 (12:1 mol/mol)	BRD-M86771886	2.20E+02	probe	combination	SIRT1;SIRT2;BRAF	inhibitor of sirtuin 1 and sirtuin 2;inhibitor of BRAF			CC(C(=O)Nc1cccc(c1)\N=C\c1c(O)ccc2ccccc12)c1ccccc1.CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(cc23)-c2ccc(Cl)cc2)c1F
660270	UNC0638:navitoclax (1:1 mol/mol)	BRD-M97749165	3.30E+01	probe	combination	EHMT1;EHMT2;BCL2;BCL2L1;BCL2L2	inhibitor of EHMT2 and GLP methyltransferase;inhibitor of BCL2, BCL-xL, and BCL-W			COc1cc2c(NC3CCN(CC3)C(C)C)nc(nc2cc1OCCCN1CCCC1)C1CCCCC1.CC1(C)CCC(=C(CN2CCN(CC2)c2ccc(cc2)C(=O)NS(=O)(=O)c2ccc(N[C@H](CCN3CCOCC3)CSc3ccccc3)c(c2)S(=O)(=O)C(F)(F)F)C1)c1ccc(Cl)cc1
660271	BRD-A02303741:carboplatin (1:1 mol/mol)	BRD-M48845972	6.60E+01	probe	combination	DOT1L	inhibitor of histone methyltransferases;inducer of DNA damage			O=C1O[Pt]OC(=O)C11CCC1.CC(C)N(CCCNC(=O)Nc1ccc(cc1)C(C)(C)C)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1ccc2c(N)ncnc12
660280	doxorubicin:navitoclax (2:1 mol/mol)	BRD-M01915239	5.00E+01	probe	combination	TOP2A;BCL2;BCL2L1;BCL2L2	inhibitor of topoisomerase II;inhibitor of BCL2, BCL-xL, and BCL-W			COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)C(=O)CO.CC1(C)CCC(=C(CN2CCN(CC2)c2ccc(cc2)C(=O)NS(=O)(=O)c2ccc(N[C@H](CCN3CCOCC3)CSc3ccccc3)c(c2)S(=O)(=O)C(F)(F)F)C1)c1ccc(Cl)cc1
660281	selumetinib:UNC0638 (4:1 mol/mol)	BRD-M39460218	1.70E+02	probe	combination	MAP2K1;MAP2K2;EHMT1;EHMT2	inhibitor of MEK1 and MEK2;inhibitor of EHMT2 and GLP methyltransferase			Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(cc12)C(=O)NOCCO.COc1cc2c(NC3CCN(CC3)C(C)C)nc(nc2cc1OCCCN1CCCC1)C1CCCCC1
660282	alisertib:navitoclax (2:1 mol/mol)	BRD-M07476339	5.00E+01	probe	combination	AURKA;AURKB;BCL2;BCL2L1;BCL2L2	inhibitor of aurora kinases A and B;inhibitor of BCL2, BCL-xL, and BCL-W			COc1cc(Nc2ncc3CN=C(c4cc(Cl)ccc4-c3n2)c2c(F)cccc2OC)ccc1C(O)=O.CC1(C)CCC(=C(CN2CCN(CC2)c2ccc(cc2)C(=O)NS(=O)(=O)c2ccc(N[C@H](CCN3CCOCC3)CSc3ccccc3)c(c2)S(=O)(=O)C(F)(F)F)C1)c1ccc(Cl)cc1
660283	navitoclax:sorafenib (1:1 mol/mol)	BRD-M03799014	5.00E+01	probe	combination	BCL2;BCL2L1;BCL2L2;BRAF;FLT3;KDR;RAF1	inhibitor of BCL2, BCL-xL, and BCL-W;inhibitor of BRAF, CRAF, and VEGFR2			CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)cc2)ccn1.CC1(C)CCC(=C(CN2CCN(CC2)c2ccc(cc2)C(=O)NS(=O)(=O)c2ccc(N[C@H](CCN3CCOCC3)CSc3ccccc3)c(c2)S(=O)(=O)C(F)(F)F)C1)c1ccc(Cl)cc1
660284	navitoclax:piperlongumine (1:1 mol/mol)	BRD-M43334969	3.30E+01	probe	combination	BCL2;BCL2L1;BCL2L2	inhibitor of BCL2, BCL-xL, and BCL-W;natural product; modulator of ROS levels			COc1cc(\C=C\C(=O)N2CCC=CC2=O)cc(OC)c1OC.CC1(C)CCC(=C(CN2CCN(CC2)c2ccc(cc2)C(=O)NS(=O)(=O)c2ccc(N[C@H](CCN3CCOCC3)CSc3ccccc3)c(c2)S(=O)(=O)C(F)(F)F)C1)c1ccc(Cl)cc1
660286	SMER-3	BRD-K92960067	6.60E+01	probe	lit-search	CUL1;SKP1	inhibitor of E3-ubiquitin ligase	Tocris Bioscience	4375	O=C1c2ccccc2-c2nc3nonc3nc12
660287	NVP-ADW742	BRD-K15179513	6.60E+01	probe	kinome	IGF1R	inhibitor of insulin-like growth factor 1 receptor	Selleck	S1088	Nc1ncnc2n(cc(-c3cccc(OCc4ccccc4)c3)c12)[C@H]1C[C@H](CN2CCCC2)C1
660288	clofarabine	BRD-K34022604	6.60E+01	FDA	std-of-care		inducer of DNA damage	Selleck	S1218	Nc1nc(Cl)nc2n(cnc12)[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1F
660301	vorinostat:navitoclax (4:1 mol/mol)	BRD-M23798888	3.30E+01	probe	combination	HDAC1;HDAC2;HDAC3;HDAC6;HDAC8;BCL2;BCL2L1;BCL2L2	inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8;inhibitor of BCL2, BCL-xL, and BCL-W			ONC(=O)CCCCCCC(=O)Nc1ccccc1.CC1(C)CCC(=C(CN2CCN(CC2)c2ccc(cc2)C(=O)NS(=O)(=O)c2ccc(N[C@H](CCN3CCOCC3)CSc3ccccc3)c(c2)S(=O)(=O)C(F)(F)F)C1)c1ccc(Cl)cc1
660304	XL765	BRD-K75308783	6.60E+01	clinical	kinome	MTOR;PIK3CA;PIK3CB;PIK3CD;PIK3CG;PRKDC	inhibitor of mTOR and PI3K kinase acitivities	Selleck	S1523	COc1cc(Nc2nc3ccccc3nc2NS(=O)(=O)c2ccc(NC(=O)c3ccc(C)c(OC)c3)cc2)cc(OC)c1
660306	AZD1480	BRD-K65928735	6.60E+01	clinical	CTEP;kinome	JAK1;JAK2	inhibitor of Janus kinases 1 and 2	Selleck	S2162	C[C@H](Nc1ncc(Cl)c(Nc2cc(C)[nH]n2)n1)c1ncc(F)cn1
660314	ML258	BRD-A82720512	6.60E+01	probe	outreach	BCL2L10	inhibitor of BIM-BCL-B interaction	Sanford-Burnham Medical Research Institute		COc1ccc(CN2c3nnnn3C3C(C2=O)C2(CCCC2)Cc2ccccc32)cc1
660317	SR1001	BRD-K47981327	6.60E+01	probe	chromatin;lit-search	RORA;RORC	synthetic ROR ligand; suppressor of TH17 differentiation	Cayman	10922	CC(=O)Nc1nc(C)c(s1)S(=O)(=O)Nc1ccc(cc1)C(O)(C(F)(F)F)C(F)(F)F
660318	bardoxolone methyl	BRD-K59437938	6.60E+01	clinical	lit-search		electrophilic inducer of the NFE2L2-KEAP1 pathway	Axon Medchem	1772	COC(=O)[C@@]12CCC(C)(C)C[C@@H]1[C@@H]1C(=O)C=C3[C@]4(C)C=C(C#N)C(=O)C(C)(C)[C@H]4CC[C@]3(C)[C@@]1(C)CC2
660319	elocalcitol	BRD-A04287157	6.60E+01	clinical	lit-search	VDR	agonist of vitamin D receptor	Axon Medchem	1676	CCC(O)(CC)\C=C\CC(C)C1=CC[C@@H]2[C@]1(C)CCC\C2=C/C=C1/C[C@@H](O)C[C@H](F)C1=C
660321	BMS-270394	BRD-K04905989	6.60E+01	probe	chromatin;lit-search	RARG	antagonist of retinoic acid receptor gamma	Axon Medchem	1173	CC1(C)CCC(C)(C)c2cc(ccc12)[C@@H](O)C(=O)Nc1ccc(cc1F)C(O)=O
660322	fluvastatin	BRD-A52530402	6.60E+01	FDA	lit-search	HMGCR	inhibitor of HMG-CoA reductase	Tocris Bioscience	3309	CC(C)N1C(\C=C\C(O)CC(O)CC(O)=O)C(c2ccccc12)c1ccc(F)cc1
660325	AZD4547	BRD-K28392481	6.60E+01	clinical	lit-search	FGFR1;FGFR2;FGFR3	inhibitor of fibroblast growth factor receptors	Active Biochem	A-1174	COc1cc(CCc2cc(NC(=O)c3ccc(cc3)N3C[C@H](C)N[C@H](C)C3)n[nH]2)cc(OC)c1
660327	hyperforin	BRD-A30032852	6.60E+01	clinical	lit-search	TRPC6	agonist of calcium-permeable ion channels	Sigma-Aldrich	H1792	CC(C)C(=O)[C@@]12C(=O)C(CC=C(C)C)C(=O)C(CC=C(C)C)(C[C@H](CC=C(C)C)[C@@]1(C)CCC=C(C)C)C2=O
660331	NVP-231	BRD-A12571627	6.60E+01	probe	kinome	CERK	inhibitor of ceramide kinase	Tocris Bioscience	3960	O=C(Nc1nc2ccc(NC(=O)C34C[C@H]5C[C@H](C[C@H](C5)C3)C4)cc2s1)c1ccccc1
660332	MK-0752	BRD-K18850819	6.60E+01	clinical	lit-search	APH1A;NCSTN;PSEN1;PSENEN	inhibitor of gamma-secretase	Selleck	S2660	OC(=O)CC[C@H]1CC[C@@](CC1)(c1cc(F)ccc1F)S(=O)(=O)c1ccc(Cl)cc1
660341	semagacestat	BRD-K65592642	6.60E+01	clinical	lit-search	APH1A;NCSTN;PSEN1;PSENEN	inhibitor of gamma-secretase	Selleck	S1594	CC(C)[C@H](O)C(=O)N[C@@H](C)C(=O)N[C@H]1c2ccccc2CCN(C)C1=O
660342	BRD-A05715709	BRD-A05715709	6.60E+01	probe	outreach	IDH1	putative inhibitor of IDH1 R132H	Broad Institute of MIT and Harvard		Cc1ccccc1C(N(C(=O)Cc1ccncc1)c1cccc(F)c1)C(=O)NC1CCCCC1
660346	bosutinib	BRD-K90746395	6.60E+01	FDA	kinome	ABL1;SRC	inhibitor of SRC and ABL1	Selleck	S1014	COc1cc(Nc2cc(nc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)C#N)c(Cl)cc1Cl
